column,count,unique,top,freq
1,7501,115,mineral water,577
2,5747,117,mineral water,484
3,4389,115,mineral water,375
4,3345,114,mineral water,201
5,2529,110,green tea,153
6,1864,106,french fries,107
7,1369,102,green tea,96
8,981,98,green tea,67
9,654,88,green tea,57
10,395,80,green tea,31
11,256,66,low fat yogurt,22
12,154,50,green tea,15
13,87,43,green tea,8
14,47,28,green tea,4
15,25,19,magazines,3
16,8,8,salmon,1
17,4,3,frozen smoothie,2
18,4,3,protein bar,2
19,3,3,spinach,1
20,1,1,olive oil,1
